Treatment,0,18,36,24,48
100% RH,0.906875,0.45375,0.456,,
75% RH,0.906875,0.967272727,0.53875,,
100% RH + BF,0.764090909,0.54,0.782857143,,
75% RH + BF,0.764090909,1.0975,0.995,,
100% RH + Recovery,1.375,0.527142857,0.513333333,,
75% RH + Recovery,1.375,1.101666667,1.241666667,,
100% RH + BF+ Recovery,1.079411765,0.830625,1.023333333,,
75% RH + BF + Recovery,1.079411765,1.178333333,0.918,,
Recovery Only,0.906875,,,0.783571429,0.73
BF + Recovery,1.375,,,1.058095238,1.113846154
Legend,0,0.5,1,1.5,
